	name	tla	home_helmet	home_logo	home_shirt	home_sleeve	home_pants	home_stripe	home_socks1	home_socks2	away_helmet	away_logo	away_shirt	away_sleeve	away_pants	away_stripe	away_socks1	away_socks2	alt_helmet	alt_logo	alt_shirt	alt_sleeve	alt_pants	alt_stripe	alt_socks1	alt_socks2	rush_helmet	rush_logo	rush_shirt	rush_sleeve	rush_pants	rush_stripe	rush_socks1	rush_socks2	roof	rainfall	snowfall	endzone
0	Buffalo	BUF	$ffffff	$003087	$003087	$c8102e	$ffffff	$c8102e	$003087	$003087	$ffffff	$003087	$ffffff	$003087	$ffffff	$c8102e	$e6e6e6	$e6e6e6	$ffffff	$c8102e	$ffffff	$003087	$ffffff	$c8102e	$e6e6e6	$003087	$ffffff	$003087	$c8102e	$ffffff	$c8102e	$003087	$b40e29	$b40e29	0	40	89	$0202d9
1	Miami	MIA	$ffffff	$008c95	$008c95	$008c95	$ffffff	$008c95	$007e86	$007e86	$ffffff	$008c95	$ffffff	$FFFFFF	$008c95	$FFFFFF	$007e86	$007e86	$ffffff	$008c95	$fc4c02	$008c95	$ffffff	$008c95	$e6e6e6	$fc4c02	$ffffff	$008c95	$008c95	$008c95	$008c95	$ffffff	$007e86	$007e86	0	59	0	$00b4a4
2	New England	N.E	$8d9093	$0c2340	$0c2340	$c8102e	$0c2340	$FFFFFF	$e6e6e6	$0b203a	$8d9093	$0c2340	$ffffff	$c8102e	$0c2340	$FFFFFF	$e6e6e6	$0b203a	$ffffff	$003087	$c8102e	$ffffff	$ffffff	$003087	$e6e6e6	$c8102e	$8d9093	$0c2340	$0c2340	$a2aaad	$a2aaad	$0c2340	$e6e6e6	$0b203a	0	49	52	$1d2253
3	New York J	NYJ	$115740	$ffffff	$115740	$ffffff	$ffffff	$115740	$e6e6e6	$0f4e3a	$115740	$ffffff	$ffffff	$115740	$115740	$ffffff	$e6e6e6	$0f4e3a	$115740	$ffffff	$115740	$ffffff	$115740	$ffffff	$e6e6e6	$e6e6e6	$115740	$ffffff	$010101	$115740	$010101	$115740	$1a1a1a	$1a1a1a	0	47	25	$035826
4	Denver	DEN	$0c2340	$ffffff	$fc4c02	$fc4c02	$ffffff	$0c2340	$e6e6e6	$0b203a	$0c2340	$ffffff	$ffffff	$FFFFFF	$ffffff	$0c2340	$e6e6e6	$0b203a	$0c2340	$ffffff	$0c2340	$0c2340	$0c2340	$fc4c02	$e6e6e6	$0b203a	$0c2340	$fc4c02	$fc4c02	$ffffff	$fc4c02	$ffffff	$e34402	$e34402	0	17	62	$e66e00
5	Kansas City	K.C	$c8102e	$ffffff	$c8102e	$ffffff	$ffffff	$c8102e	$e6e6e6	$b40e29	$c8102e	$ffffff	$ffffff	$c8102e	$c8102e	$FFFFFF	$e6e6e6	$ffb81c	$c8102e	$ffffff	$ffffff	$c8102e	$ffffff	$c8102e	$e6e6e6	$b40e29	$c8102e	$ffffff	$c8102e	$ffffff	$c8102e	$ffffff	$e6e6e6	$b40e29	0	40	15	$dc0015
6	Los Angeles C	LAC	$ffffff	$ffb81c	$0072ce	$FFB81C	$ffffff	$ffb81c	$e6e6e6	$0072ce	$ffffff	$ffb81c	$ffffff	$ffb81c	$ffb81c	$FFFFFF	$e6e6e6	$0072ce	$ffffff	$0c2340	$0c2340	$ffb81c	$0c2340	$ffb81c	$0b203a	$0b203a	$ffffff	$ffb81c	$003087	$ffb81c	$003087	$ffb81c	$002b7a	$002b7a	2	17	0	$3289f7
7	Las Vegas	L.V	$87909a	$010101	$010101	$a2aaad	$a2aaad	$010101	$e6e6e6	$1a1a1a	$87909a	$010101	$ffffff	$010101	$a2aaad	$010101	$e6e6e6	$1a1a1a	$010101	$010101	$010101	$c5b53b	$ffffff	$c5b53b	$e6e6e6	$010101	$87909a	$010101	$ffffff	$a2aaad	$ffffff	$a2aaad	$e6e6e6	$e6e6e6	1	5	0	$000000
8	Baltimore	BAL	$010101	$24125f	$24125f	$010101	$ffffff	$24125f	$e6e6e6	$010101	$010101	$24125f	$ffffff	$24125f	$24125f	$010101	$e6e6e6	$1a1a1a	$010101	$24125f	$010101	$24125f	$010101	$010101	$e6e6e6	$1a1a1a	$010101	$24125f	$24125f	$010101	$24125f	$010101	$e6e6e6	$1a1a1a	0	45	19	$361d7d
9	Cincinnati	CIN	$dc4405	$010101	$010101	$dc4405	$ffffff	$dc4405	$010101	$010101	$dc4405	$010101	$ffffff	$010101	$ffffff	$010101	$e6e6e6	$e6e6e6	$dc4405	$010101	$dc4405	$010101	$010101	$dc4405	$1a1a1a	$1a1a1a	$dc4405	$010101	$010101	$dc4405	$010101	$dc4405	$1a1a1a	$1a1a1a	0	42	14	$e0571e
