year	week	away_team	home_team	away_score	home_score
1	1	28	27	-1	-1
1	1	8	1	-1	-1
1	1	0	3	-1	-1
1	1	9	23	-1	-1
1	1	4	7	-1	-1
1	1	25	20	-1	-1
1	1	26	24	-1	-1
1	1	12	30	-1	-1
1	1	13	6	-1	-1
1	1	5	14	-1	-1
1	1	21	29	-1	-1
1	1	17	16	-1	-1
1	1	11	2	-1	-1
1	1	22	31	-1	-1
1	1	15	10	-1	-1
1	1	19	18	-1	-1
1	2	20	8	-1	-1
1	2	0	17	-1	-1
1	2	24	4	-1	-1
1	2	10	3	-1	-1
1	2	16	19	-1	-1
1	2	13	15	-1	-1
1	2	14	12	-1	-1
1	2	5	7	-1	-1
1	2	6	25	-1	-1
1	2	27	26	-1	-1
1	2	2	1	-1	-1
1	2	30	21	-1	-1
1	2	18	28	-1	-1
1	2	22	9	-1	-1
1	2	23	11	-1	-1
1	2	31	29	-1	-1
1	3	28	13	-1	-1
1	3	8	5	-1	-1
1	3	29	20	-1	-1
1	3	24	19	-1	-1
1	3	9	0	-1	-1
1	3	4	26	-1	-1
1	3	25	18	-1	-1
1	3	12	6	-1	-1
1	3	21	10	-1	-1
1	3	1	16	-1	-1
1	3	30	23	-1	-1
1	3	17	31	-1	-1
1	3	3	2	-1	-1
1	3	7	27	-1	-1
1	3	11	22	-1	-1
1	3	15	14	-1	-1
1	4	29	12	-1	-1
1	4	9	11	-1	-1
1	4	10	8	-1	-1
1	4	16	30	-1	-1
1	4	14	4	-1	-1
1	4	5	25	-1	-1
1	4	6	1	-1	-1
1	4	27	24	-1	-1
1	4	2	0	-1	-1
1	4	7	13	-1	-1
1	4	18	26	-1	-1
1	4	23	20	-1	-1
1	4	31	21	-1	-1
1	4	15	28	-1	-1
1	4	19	17	-1	-1
1	5	20	9	-1	-1
1	5	28	12	-1	-1
1	5	8	11	-1	-1
1	5	0	15	-1	-1
1	5	24	7	-1	-1
1	5	10	22	-1	-1
1	5	4	6	-1	-1
1	5	26	16	-1	-1
1	5	13	5	-1	-1
1	5	14	29	-1	-1
1	5	21	23	-1	-1
1	5	27	17	-1	-1
1	5	2	19	-1	-1
1	5	3	18	-1	-1
1	5	31	30	-1	-1
1	6	28	20	-1	-1
1	6	29	31	-1	-1
1	6	9	8	-1	-1
1	6	16	3	-1	-1
1	6	25	26	-1	-1
1	6	12	5	-1	-1
1	6	30	14	-1	-1
1	6	17	2	-1	-1
1	6	18	27	-1	-1
1	6	11	6	-1	-1
1	6	22	21	-1	-1
1	6	23	10	-1	-1
1	6	15	4	-1	-1
1	6	19	1	-1	-1
1	7	20	17	-1	-1
1	7	8	23	-1	-1
1	7	12	13	-1	-1
1	7	14	9	-1	-1
1	7	5	4	-1	-1
1	7	6	15	-1	-1
1	7	21	28	-1	-1
1	7	1	0	-1	-1
1	7	27	25	-1	-1
1	7	2	3	-1	-1
1	7	30	24	-1	-1
1	7	7	26	-1	-1
1	7	18	16	-1	-1
1	7	22	19	-1	-1
1	8	20	30	-1	-1
1	8	29	22	-1	-1
1	8	9	21	-1	-1
1	8	10	2	-1	-1
1	8	4	13	-1	-1
1	8	26	5	-1	-1
1	8	6	24	-1	-1
1	8	1	11	-1	-1
1	8	17	25	-1	-1
1	8	3	14	-1	-1
1	8	7	12	-1	-1
1	8	18	0	-1	-1
1	8	23	28	-1	-1
1	8	31	15	-1	-1
1	8	19	27	-1	-1
1	9	24	18	-1	-1
1	9	10	4	-1	-1
1	9	16	17	-1	-1
1	9	25	7	-1	-1
1	9	26	6	-1	-1
1	9	12	14	-1	-1
1	9	13	11	-1	-1
1	9	27	5	-1	-1
1	9	2	8	-1	-1
1	9	3	1	-1	-1
1	9	22	20	-1	-1
1	9	31	23	-1	-1
1	9	15	29	-1	-1
1	9	19	0	-1	-1
1	10	20	31	-1	-1
1	10	28	30	-1	-1
1	10	8	9	-1	-1
1	10	0	10	-1	-1
1	10	29	26	-1	-1
1	10	25	24	-1	-1
1	10	5	15	-1	-1
1	10	6	7	-1	-1
1	10	21	11	-1	-1
1	10	1	13	-1	-1
1	10	27	16	-1	-1
1	10	17	3	-1	-1
1	10	23	22	-1	-1
1	11	20	22	-1	-1
1	11	28	29	-1	-1
1	11	0	1	-1	-1
1	11	24	21	-1	-1
1	11	9	7	-1	-1
1	11	16	25	-1	-1
1	11	4	27	-1	-1
1	11	12	8	-1	-1
1	11	14	13	-1	-1
1	11	5	6	-1	-1
1	11	2	18	-1	-1
1	11	30	31	-1	-1
1	11	3	19	-1	-1
1	11	11	10	-1	-1
