year	week	away_team	home_team	away_score	home_score
1	1	1	2	-1	-1
1	1	3	29	-1	-1
1	1	4	17	-1	-1
1	1	6	19	-1	-1
1	1	8	7	-1	-1
1	1	10	5	-1	-1
1	1	11	0	-1	-1
1	1	14	12	-1	-1
1	1	16	31	-1	-1
1	1	18	28	-1	-1
1	1	20	15	-1	-1
1	1	22	25	-1	-1
1	1	23	13	-1	-1
1	1	24	21	-1	-1
1	1	26	30	-1	-1
1	1	27	9	-1	-1
1	2	0	1	-1	-1
1	2	2	3	-1	-1
1	2	4	14	-1	-1
1	2	5	8	-1	-1
1	2	7	11	-1	-1
1	2	9	24	-1	-1
1	2	12	10	-1	-1
1	2	15	23	-1	-1
1	2	16	6	-1	-1
1	2	17	19	-1	-1
1	2	21	13	-1	-1
1	2	22	18	-1	-1
1	2	25	26	-1	-1
1	2	27	20	-1	-1
1	2	28	31	-1	-1
1	2	30	29	-1	-1
1	3	1	7	-1	-1
1	3	3	4	-1	-1
1	3	6	5	-1	-1
1	3	8	25	-1	-1
1	3	9	11	-1	-1
1	3	13	15	-1	-1
1	3	18	16	-1	-1
1	3	19	0	-1	-1
1	3	20	14	-1	-1
1	3	23	27	-1	-1
1	3	24	10	-1	-1
1	3	26	22	-1	-1
1	3	28	17	-1	-1
1	3	29	12	-1	-1
1	3	30	2	-1	-1
1	3	31	21	-1	-1
1	4	5	18	-1	-1
1	4	7	6	-1	-1
1	4	8	4	-1	-1
1	4	10	27	-1	-1
1	4	11	26	-1	-1
1	4	12	0	-1	-1
1	4	13	1	-1	-1
1	4	14	9	-1	-1
1	4	15	3	-1	-1
1	4	17	30	-1	-1
1	4	19	28	-1	-1
1	4	20	21	-1	-1
1	4	23	22	-1	-1
1	4	25	24	-1	-1
1	4	29	16	-1	-1
1	4	31	2	-1	-1
1	5	0	5	-1	-1
1	5	1	31	-1	-1
1	5	2	12	-1	-1
1	5	3	28	-1	-1
1	5	4	11	-1	-1
1	5	10	6	-1	-1
1	5	13	8	-1	-1
1	5	15	14	-1	-1
1	5	17	16	-1	-1
1	5	18	29	-1	-1
1	5	21	23	-1	-1
1	5	22	20	-1	-1
1	5	24	7	-1	-1
1	5	25	27	-1	-1
1	5	26	9	-1	-1
1	5	30	19	-1	-1
1	6	0	15	-1	-1
1	6	1	14	-1	-1
1	6	5	19	-1	-1
1	6	6	8	-1	-1
1	6	7	4	-1	-1
1	6	9	25	-1	-1
1	6	12	13	-1	-1
1	6	16	2	-1	-1
1	6	20	10	-1	-1
1	6	21	17	-1	-1
1	6	23	11	-1	-1
1	6	26	24	-1	-1
