ui_NewStarGames	New Star Games
intro_player1	Your name is $fname $lname.#You grew up in $town.
intro_player2	#You play for the $teamname in the $teamdivision.
intro_mother	Your mother's name is $fname.
intro_motherdead1	Your mother's name was $fname.#She died when you were $deathage years old.
intro_motherdead2	Your mother's name was $fname.#She died when you were a baby.
intro_fatherdead1	Your father's name was $fname.#He died when you were $deathage years old.
intro_fatherdead2	Your father's name was $fname.#He died when you were a baby.
intro_fatherdead3	Your father's name was $fname.#He died before you were born.
intro_father	Your father's name is $fname.
intro_friend	Here comes your friend, $fname.#$he invites you out to play football.
intro_parentsdead1	Your parents names were $mumfname and $dadfname.#They died in a car accident when you were $deathage years olquad.
intro_parentsdead2	Your parents names were $mumfname and $dadfname.#They died in a car accident when you were a baby.
intro_guardian	Your $relationtype, $fname takes care of you.praise
rel_Me	Me
rel_Mother	Mom
rel_Father	Dad
rel_Friend	Friend
rel_GrandMother	Grandmother
rel_GrandFather	Grandfather
rel_GrandMother_short	GRANDM
rel_GrandFather_short	GRANDF
rel_Aunt	Aunt
rel_Uncle	Uncle
rel_Coach	Coach
ui_Back	Back
ui_Home	Home
ui_Dilemma	Dilemma
ui_Continue	Continue
ui_Play	Play
ui_Message	Message
ui_Select	Select
ui_Profile	Profile
ui_Practice	Practice
ui_Exercise	Exercise
ui_Fixtures	Fixtures
ui_Results	Results
ui_Exit	Exit
ui_Earn	Earn
ui_Week	Week
ui_Weeks	Weeks
ui_Cash	Cash
ui_Shop	Shop
ui_Study	Study
ui_Purchase	Purchase
ui_Cancel	Cancel
ui_NextMatch	Next Game
ui_PlayMatch	Play Game
ui_Standings	Standings
ui_Relationships	Relationships
ui_Opportunity	Opportunity
ui_YourHappiness	Your Happiness
cards_Shuffle	Shuffle
person_He	He
person_She	She
person_Happiness0	You aren't getting along very well.
person_Health0	$he is in poor health.
tla_years	yrs
profile_Name	Name
profile_Age	Age
profile_Birthplace	Birthplace
profile_Sex	Sex
profile_Resides	Resides
profile_Residence	Residence
profile_Occupation	Occupation
profile_Fitness	Fitness
profile_Happiness	Happiness
profile_Intelligence	Intelligence
profile_Football	Football
profile_Earn	Earn
profile_Hobby	Hobby
profile_Hobbies	Hobbies
profile_Vision	Vision
profile_Throw	Throw
profile_Speed	Speed
profile_Family	Family
profile_Deceased	Deceased
profile_Energy	Energy
profile_Acquaintances	Acquaintances
student_HighSchool	Student at $schoolname High School
student_College	College Student
profile_Neighbourhood	Neighbourhood
profile_FamilyFinances	Family Finances
profile_Traits	Traits
profile_Trait	Trait
profile_Learning	Learning
profile_Relationship	Relationship
sex_0	Female
sex_1	Male
msg_coach_1	Hey kid, I'm $fullname, the coach at $teamname. We have a long season ahead and I expect you to perform like a champ!
finances_1	Very low
finances_2	Low
finances_3	Ok
finances_4	Good
finances_5	Very good
neighbourhood_1	Run down
neighbourhood_2	Declining
neighbourhood_3	Improving
neighbourhood_4	Prosperous
neighbourhood_5	Affluent
profile_Unemployed	Unemployed
class_1	English
class_2	Math
class_3	Biology
class_4	Chemistry
class_5	Physics
class_6	History
class_7	Economics
class_8	Geography
aan_class_1	an English
aan_class_2	a Math
aan_class_3	a Biology
aan_class_4	a Chemistry
aan_class_5	a Physics
aan_class_6	a History
aan_class_7	an Economics
aan_class_8	a Geography
trait_app_0	None
trait_app_1	Attractive
trait_app_2	Disfigured
trait_app_3	Tall
trait_app_4	Short
trait_app_5	Big boned
trait_app_6	Large
trait_app_7	Skinny
trait_app_8	Frail
trait_app_9	Stutters
trait_issue_1	Greedy
trait_issue_2	Optimistic
trait_issue_3	Shy
trait_issue_4	Confident
trait_issue_5	Impressionable
trait_issue_6	Religious
trait_issue_7	Atheist
trait_issue_8	Affectionate
trait_issue_9	Paranoid
trait_issue_10	Delusional
trait_issue_11	Lucky
trait_issue_12	Forgiving
trait_issue_13	Clever
trait_issue_14	Kind
trait_issue_15	Envious
trait_issue_16	Proud
trait_issue_17	Honest
trait_issue_18	Deceitful
trait_issue_19	Mean
trait_issue_20	Pessimistic
trait_vice_1	Gambler
trait_vice_2	Alcoholic
trait_vice_3	Sex Addict
trait_vice_4	Party Animal
trait_vice_5	Drug Addict
trait_vice_6	Aggressive
commentator_1	Did you know, Bob, that $playername's favourite pasttime is $hobby? I think that really comes across in his game, don't you?
commentator_2	Apparently $playername's favourite hobby is $hobby? You can tell that just by the way he plays can't you, Bob?
commentator_reply_1	I hope not, Jim. I hope not.
commentator_reply_2	Absolutely!
commentator_reply_3	For sure, Jim.
commentator_reply_4	Whatever you say, Jim.
commentator_reply_5	You could say that.
commentator_reply_6	You would say that, wouldn't you, Jim.
commentator_reply_7	Absolutely not!
commentator_reply_8	That is correct.
commentator_reply_9	No.
commentator_reply_10	Where's my coffee?
commentator_reply_11	What?
commentator_reply_12	Who is Bob?
commentator_reply_13	It's uncanny.
commentator_reply_14	I don't see it, Jim.
commentator_reply_15	...
commentator_reply_16	Hah!
commentator_reply_17	Ha ha.
commentator_reply_18	Let's get back to the game, Jim.
ui_Defense	Defense
ui_Offense	Offense
quarter_1	1st Qtr
quarter_2	2nd Qtr
quarter_3	3rd Qtr
quarter_4	4th Qtr
quarter_5	O.T
match_Touchdown	Touchdown
match_Interception	Interception
match_Incomplete	Incomplete
match_OutOfBounds	Out of bounds
match_Sacked	Sacked
match_Fumble	Fumble
comm_stage_KickOff	$teamname kick off
comm_stage_Possession_OwnHalf1	$teamname on their own $num
comm_stage_Possession_OwnHalf2	$teamname in their own half
comm_stage_Possession_OwnHalf3	$teamname have possession
comm_stage_Possession_OppHalf1	$teamname have it on the $num
comm_stage_Possession_OppHalf2	$teamname on the $num
comm_stage_Possession_OppHalf3	$teamname have possession
comm_stage_Possession_RedZone	$teamname in the red zone
comm_stage_Possession_BackedUp	$teamname deep in their own half
comm_stage_Possession_Halfway	$teamname have it in midfield
comm_stage_PuntReturnGood	That's a good return
comm_stage_PuntReturnShort	It's a short return
comm_stage_DriveRun0	They run the ball
comm_stage_DriveRun1	They keep it on the ground
comm_stage_DrivePass0	They go for the pass
comm_stage_DrivePass1	They throw the ball
comm_stage_DriveHailMary0	It's a hail mary throw
comm_stage_DriveHailMary1	It's a huge throw
comm_stage_Turnover1	It's a fumble!
comm_stage_Turnover2	Interception!
comm_stage_TurnoverHuman	$teamname turn it over
comm_stage_TurnoverHuman4th	$teamname turn it over on 4th down
comm_stage_Touchdown	$teamname score!
comm_stage_Punt	$teamname punt
comm_stage_PAT1	Point after touchdown...
comm_stage_PAT2_Missed	Missed!
comm_stage_PAT2_Scored	Scored!
comm_stage_FieldGoal1	$teamname attempt a $num yard field goal...
comm_stage_FieldGoal2_Missed	Missed!
comm_stage_FieldGoal2_Scored	Scored!
comm_stage_end_quarter1	End of 1st quarter
comm_stage_end_quarter2	End of 1st half
comm_stage_end_quarter3	End of 3rd quarter
comm_stage_end_quarter4	Game over
comm_stage_overtime	Overtime!
comm_stage_overtime_over	Game over
comm_stage_2pt_attempt	They go for 2 points...
comm_stage_2pt_missed	But get stopped!
comm_stage_2pt_scored	And score!
comm_stage_Turnover_Tackle	[$pos] $playername makes a great tackle!
comm_stage_Turnover_Fumble	[$pos] $playername forces a fumble!
comm_stage_Turnover_Sack	[$pos] $playername sacks the quarterback!
comm_stage_Turnover_Interception	[$pos] $playername makes an interception!
comm_stage_failed_skill	[$pos] $playername misses the tackle
comm_stage_failed_speed	[$pos] $playername was too slow
comm_stage_failed_strength	[$pos] $playername wasn't strong enough
comm_stage_incomplete_Run	It's short of the 1st down
comm_stage_incomplete_Pass	Incomplete
down_1	1st down
down_2	2nd down
down_3	3rd down
down_4	4th down
down_1and	1st &
down_2and	2nd &
down_3and	3rd &
down_4and	4th &
Goal	Goal
Inches	Inches
match_GetReady	Get Ready!
tut_FriendThrow	I'll make a run.\nYou throw me the ball!\n|
tut_TouchAndDrag	Touch and drag
tut_ClickAndDrag	Click and drag
tut_FriendSuccess	Great throw!\n|
tut_FriendFail	Oops.\nTry again.\n|
game_Title	Retro Bowl
qualification_NO	Not Possible
qualification_MAYBE	Possible
qualification_PO	Play-offs
qualification_WC	Wild Card
endseason_failure	You didn't make the play-offs this year.
matchmsg_SwitchDirection	Switch direction?
ui_MyTeam	My Team
ui_QBStats	QB Stats
ui_Team	Team
ui_Wins	Wins
ui_Losses	Losses
ui_Ties	Ties
ui_PlayOffs	Play Offs
tla_Attempts	Att
tla_Completed	Comp
tla_Percent	Pct
tla_Yards	Yds
tla_yards	yds
sla_Yards	Y
sla_yards	y
tla_TouchDowns	TD
tla_Interceptions	Int
tla_Sacks	Sck
tla_Average	Avg
tla_CompletedPercent	Comp %
ui_League	League
ui_Stats	Stats
ui_Fixtures	Fixtures
ui_Schedule	Schedule
ui_Options	Options
ui_XPLevel	XP Level
ui_StatsMatch	Game Stats
ui_StatsSeason	Season Stats
ui_StatsCareer	Career Stats
ui_NextGame	Next Game
ui_Result	Result
ui_Results	Results
ui_Options	Options
ui_NewGame	New Game
ui_QuitGame	Quit Game
ui_Leaderboard	Leaderboard
ui_Leaderboard_QB	QB Leaderboard
ui_Name	Name
ui_News	News
ui_Traits	Traits
conf_AFC	AFC
conf_NFC	NFC
division_East	East
division_West	West
division_North	North
division_South	South
sla_East	E
sla_West	W
sla_North	N
sla_South	S
sla_Wins	W
sla_Losses	L
sla_Ties	T
sla_Win	W
sla_Loss	L
sla_Tie	T
ui_Yes	Yes
ui_No	No
Punt	Punt
Field Goal	Field Goal
msg_QuitGame	Do you want to quit game?
msg_NewGame	Do you want to start a new career?##WARNING!#Current save data and any coaching credits you have acquired will be lost.
matchmsg_PlayPunt	Play 4th down or punt?
matchmsg_PlayFG	Play $down or go for field goal?
news_qbYardsTDs	$playername put in an impressive performace for $teamname1 with $yards yards and $touchdowns touchdowns against $teamname2.
news_qbYards	$playername passed for $yards yards against $teamname2 this week.
news_qbTouchDowns	$teamname1 quarterback $playername threw $touchdowns touchdowns against $teamname2.
news_qbSacks	$playername had a bad game for $teamname1 after being sacked by $teamname2 $sacks times.
news_qbInterceptions	$teamname1 quarterback $playername threw $interceptions interceptions against $teamname2.
news_qbSacksInts	$teamname1 quarterback $playername had a terrible game against $teamname2 suffering $sacks sacks and $interceptions interceptions.
ui_NewTrait	New Trait!
msg_NewTrait	You have earned a new trait!###$traitname##$traitdesc.
match_StiffArm	Stiff Arm!
ui_DivisionLeaders	Division Leaders
ui_WildCard	Wild Card
ui_InTheHunt	In the hunt
ui_SuperBowl	Retro Bowl
ui_Super#Bowl	Retro#Bowl
ui_Champion	Champion
ui_PlayOffPicture	Play Off Picture
msg_PlayOffResult	$teamname1 beat $teamname2 $score1-$score2!
msg_SuperBowlWinner	$teamname1 win the Retro Bowl!
match_FG_Good	It's good
match_FG_Bad	No good
match_Kicking	Kicking
match_FieldGoal	Field Goal
match_PAT	Point After Touchdown
match_Wind	Wind
ui_Training	Training
ui_FieldGoal	Field Goal
ui_Running	Running
match_TouchToStart	Touch To Start
match_TouchToContinue	Touch to continue
match_Success	Success
match_Fail	Fail
ui_Passing	Passing
training_Running1	Tap the blue circle
training_Running2	Swipe to dodge
training_Running1b	Click the blue circle
training_Running2b	W or S to dodge
training_Throw1	Drag and hold to aim
training_Throw2	Release to throw
training_Kick1	Tap to set power
training_Kick2	Tap to set direction
training_Kick1b	Click to set power
training_Kick2b	Click to set direction
training_Pass	Passing Practice
training_Running	Running Practice
training_FieldGoal	Field Goal Practice
match_Caught	Caught
match_Tipped	Tipped
match_Dropped	Dropped
msg_NewSeason	A new season begins!
match_Recovered	Recovered
match_Turnover	Turnover
match_Safety	Safety
matchmsg_PATor2	1 or 2 point conversion?
match_1pt	1 pt
match_2pt	2 pt
match_Scored	Scored
ui_ChooseTeam	Choose Team
ui_DriveDirection	Drive Direction
ui_driveLeft	Left
ui_driveRight	Right
ui_driveBoth	Both
pos_QB	QB
pos_OL	OL
pos_TE	TE
pos_RB	RB
pos_WR	WR
pos_DL	DL
pos_LB	LB
pos_SF	SF
pos_CB	CB
pos_KP	KP
pos_KK	K
pos_KR	KR
pos_DB	DB
position_QB	Quarterback
position_OL	Offensive Lineman
position_TE	Tight End
position_RB	Running Back
position_WR	Wide Receiver
position_DL	Defensive Lineman
position_LB	Linebacker
position_SF	Safety
position_CB	Corner Back
position_KP	Kick Placer
position_KK	Kicker
position_KR	Kick Returner
position_DB	Defensive Back
pos_STAFF_DF	DF
pos_STAFF_OF	OF
position_STAFF_DF	Defensive Coordinator
position_STAFF_OF	Offensive Coordinator
ui_Roster	Roster
sla_Rookie	R
ui_SalaryCap	Salary Cap
ui_PlayerProfile	Player Profile
ui_Contract	Contract
sla_Year	Y
sla_Years	Y
ui_Position	Position
attribute_Speed	Speed
attribute_Strength	Strength
attribute_Catching	Catching
attribute_Kicking	Kicking
attribute_Throwing	Throwing
attribute_Stamina	Stamina
attribute_Tackling	Tackling
attitude_0	Toxic
attitude_1	Bad
attitude_2	Poor
attitude_3	Ok
attitude_4	Good
attitude_5	Great
attitude_6	Exceptional
ui_Attitude	Morale
ui_Rating	Rating
ui_Age	Age
ui_Trade	Trade
ui_TradePlayer	Trade Player
ui_TradeOffer	Trade Offer
ui_Cut	Cut
ui_CutPlayer	Cut Player
msg_CutPlayer	Do you want to cut $position $playername from your roster?##Cutting a non-toxic player will harm team morale.
msg_CannotTradeWeek	You cannot trade players after week 8.##Do you want to cut $playername from your roster instead?
msg_CannotTradeInjured	No teams are interested in taking $playername whilst he is injured.##Do you want to cut this player from your roster instead?
msg_CannotTradeToxic	No teams are interested in taking $playername whilst his attitude is toxic.##Do you want to cut this player from your roster instead?
msg_CannotSignToxic	$playername is not interested in re-signing.
msg_CannotTradeRookie	$playername does not want to be traded.##Do you want to cut this player from your roster instead?
msg_TradePlayerThis	$teamname are offering a round $num pick in this season's draft for $position $playername.
msg_TradePlayerNext	$teamname are offering a round $num pick in next season's draft for $position $playername.
ui_Draft	Draft
ui_RookieDraft	Rookie Draft
ui_DraftRound	Draft Round $num
ui_PicksLeft	Picks Left
ui_Picks	Picks
ui_SignPlayer	Sign Player
msg_SignPlayer	Do you want to sign $position $playername?
msg_SignPlayerStore	Do you want to sign $position $playername? It will cost $num coaching credits.
msg_SignPlayerStoreNoCredit	You need $num coaching credits to sign this player.
msg_SignRookie	Do you want to sign rookie $position $playername?
msg_CannotSign1	You already have a $position.##You will need to cut or trade the $position from your roster if you want to sign $playername.
msg_CannotSign2	You already have $num players for the $position position.##You will need to cut or trade someone from your roster if you want to sign $playername.
ui_Sign	Sign
msg_SkipDraft	You still have $num picks left.##Do you want to sell your picks in this round for $value coach credits?
msg_SkipDraft1	You still have a pick left in this round.##Do you want to sell it for $value coach credits?
ui_NoMorePicks	You don't have any picks left.
ui_NoMorePicksToTrade	You don't have a $num round pick for next season's draft to trade.
ui_Rookie	Rookie
ui_StarPlayers	Star Players
ui_Details	Details
ui_Attributes	Attributes
info_QB	Quarterbacks receive the ball from the snap and either hand it off to a running back or throw it to a receiver.
info_OL	Offensive linemen protect the quarterback. The stronger your offensive line the more time your quarterback has to make a throw.
info_TE	A tight end lines up near the end of your offensive line. They will either contribute to blocking or make a run.
info_RB	A running back can receive the back from the quarterback and attempt to run through or around the defensive line.
info_WR	Wide receivers line up near the sidelines and will normally make deep runs in order to receive a long pass from the quarterback.
info_DL	A defensive linemen will attempt to tackle the quarterback and block runs from the running back.
info_LB	Linebackers line up behind the defensive linemen. They will either attempt to cover receivers or press forward to stop running backs.
info_SF	Safeties sit deep in the backfield covering receivers.
info_CB	Corner backs line up opposite wide receivers and attemp to stop them catching the ball.
info_KP	The kick placer receives the ball from the snap and places it for the kicker.
info_K	Kickers will take field goal kicks and point after touchdown conversions.
info_KR	The kick returner receives the ball from a kick off or punt and attempts to run it up the field.
info_DB	Defensive backs are your corner backs and safeties. They will mainly cover pass attempts.
info_StarPlayers	These are your key players - the guys that make a real difference on game day. You can have up to 10 key players, so long as you don't exceed the salary cap.##The rest of your squad do not have star ratings and are hidden. Their contribution towards the overall offense and defense ratings is dependent on the coordinator ratings.
info_Draft	This is the rookie draft!##There are 3 draft rounds and you will receive 1 pick per round. Choose wisely!##If you need to trade out existing players you can do so via the Roster screen.
ui_Players	Players
info_Skill_Throwing	Throw accuracy determines how much arc you see when aiming a throw.
info_Skill_Kicking	Kick accuracy determines to how fast the aiming arc moves when taking a kick.
info_Skill_Tackling	Tackling determines how well a player can overthrow his opponent.
info_Skill_Speed	Speed represents a player's acceleration and top speed.
info_Skill_Strength	Strength determines how hard a player hits and how many stiffarms they can do. For quarterbacks and kickers it relates to maximum throw and kick range.
info_Skill_Catching	Catching relates to how well a player holds on to the ball when catching it and after taking a hit.
info_Skill_Stamina	Stamina affects how long a player can run at their top speed. For quarterbacks and kickers it determines how much their strength depletes with every throw or kick.
ui_Potential	Potential
ui_Page	Page
ui_Round	Round
tla_Round	Rnd
ui_NextRound	Next Round
ui_SkipRound	Skip Round
ui_SkipDraft	Skip Draft
ui_FreeAgents	Free Agents
ui_FreeAgent	Free Agent
ui_Trades	Trades
info_FreeAgents	Free agents are players that either didn't make the draft or are out of contract.##Trades are players currently under contract with another team but looking for a move. You will need to exchange one of your future draft picks for the player you want to trade.
ui_Value	Value
ui_None	None
ui_Pick	Pick
ui_ExceedSalaryCap	Signing $playername will exceed the salary cap.##You have $$numm remaining.##You will need to cut or trade players from your roster to sign this player.
msg_FreeAgentOffer	$position $playername is a free agent looking for a team.##He arrives at the training facility for your assessment.
msg_FreeAgentOffer_Rookie	$position $playername was an undrafted rookie.##Coach $coachname thinks he is an interesting prospect.
msg_TradeOffer	$teamname are offering $position $playername as a trade.##In return they want a round $num pick in next season's draft.
msg_TradeOfferSign	Do you want to sign $position $playername from $teamname?##He will cost you a round $num pick in next season's draft.
ui_Cost	Cost
ui_TradeRequest	Trade Request
msg_TradeRequest	$teamname want your $position $playername.##In return they are offering a round $num pick in next season's draft.
ui_Offer	Offer
ui_LevelUp	Level Up
short_LevelUp	Lvl Up
ui_Confirm	Confirm
msg_ContractExpired	$position $playername's contract has expired. He wants a $year year contract with a salary of $salary.
news_PlayerRetired	$teamname $position $playername has retired at the age of $age.
news_PlayerInjured	$position $playername has suffered an injury ($injurytype).##He will be out for $num games.
news_PlayerInjured1	$position $playername has suffered an injury ($injurytype).##He will be out for 1 game.
news_PlayerRecovered	$position $playername has recovered from his injury and is fit to play.
msg_OutOfContractPlayer	$position $playername's contract has expired. He is on the free agent list if you wish to re-sign him.
msg_OutOfContractPlayers	You have players with expired contracts. They are on the free agents list if you wish to re-sign them.
msg_ClearFreeAgents	These players will now find new teams. Are you sure you want to proceed?
msg_ClearFreeAgent	This player will now find a new team. Are you sure you want to proceed?
msg_ClearTradeOffer	Do you want to reject this trade offer?
msg_SalaryCapIncrease	The salary cap has been raised to $$numm.
ui_ByeWeek	Bye Week
ui_PlayOff	Play Off
ui_Scanlines	Scanlines
ui_On	On
ui_Off	Off
ui_TeamMorale	Team Morale
